Name,latitude,longitude,family,20A Fusion of Selected Inflectional Formatives,21A Exponence of Selected Inflectional Formatives,21B Exponence of Tense-Aspect-Mood Inflection,22A Inflectional Synthesis of the Verb,23A Locus of Marking in the Clause,24A Locus of Marking in Possessive Noun Phrases,25A Locus of Marking: Whole-language Typology,25B Zero Marking of A and P Arguments,27A Reduplication,28A Case Syncretism,29A Syncretism in Verbal Person/Number Marking,30A Number of Genders,34A Occurrence of Nominal Plurality,39A Inclusive/Exclusive Distinction in Independent Pronouns,40A Inclusive/Exclusive Distinction in Verbal Inflection,41A Distance Contrasts in Demonstratives,42A Pronominal and Adnominal Demonstratives,44A Gender Distinctions in Independent Personal Pronouns,45A Politeness Distinctions in Pronouns,47A Intensifiers and Reflexive Pronouns,48A Person Marking on Adpositions,51A Position of Case Affixes,52A Comitatives and Instrumentals,54A Distributive Numerals,55A Numeral Classifiers,58A Obligatory Possessive Inflection,59A Possessive Classification,61A Adjectives without Nouns,63A Noun Phrase Conjunction,65A Perfective/Imperfective Aspect,66A The Past Tense,67A The Future Tense,68A The Perfect,69A Position of Tense-Aspect Affixes,70A The Morphological Imperative,72A Imperative-Hortative Systems,73A The Optative,76A Overlap between Situational and Epistemic Modal Marking,77A Semantic Distinctions of Evidentiality,79A Suppletion According to Tense and Aspect,NumBlanks
Tahitian,-17.66666667,-149.5833333,Austronesian,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,2 Differentiation,,,,,,2 'And' identical to 'with',1 Grammatical marking,"1 Present, no remoteness distinctions",2 No inflectional future,3 Other perfect,5 No tense-aspect inflection,4 Second person number-neutral,,,,,,31
Tuareg (Air),19,9,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tajik,38.66666667,70,Indo-European,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,4 Mixed type,,,,,,,38
Takia,-4.666666667,146,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Talinga,0.416666667,29.66666667,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,2 Case prefixes,,,,,,,,,,,,,,2 Minimal system,,,,,38
Tamang (Eastern),27.5,85.66666667,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,,,2 Without marking,,,,,,2 Tense-aspect suffixes,,,,,,,37
Tangale,9.75,11.33333333,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,39
Tarao,24.25,94.16666667,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Taiap,-4.083333333,144.5,Gapun,,,,,,,,,,,,2 Two,,,,,,3 3rd person singular only,,,1 No adpositions,,,,,,,,,,,,,,,,,,,,37
Taiwanese,25,121.5,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tariana,1,-69.16666667,Arawakan,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,,,,,,,,,,,,,,3 Direct and indirect,,38
Tashlhiyt,31,-5,Afro-Asiatic,,,,,,,,,,,,,,,,3 Three-way contrast,2 Different stem,,,1 Identical,,2 Case prefixes,2 Differentiation,,,,,,,,,,,1 Tense-aspect prefixes,1 Second singular and second plural,,,,,,33
Tatana',5.5,115.5,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tauya,-5.75,145.3333333,Trans-New Guinea,,,,,3 Double marking,2 Dependent marking,5 Inconsistent or other,2 Non-zero marking,,,,,"4 All nouns, always optional",,,2 Two-way contrast,3 Different inflection,6 No gender distinctions,,,1 No adpositions,6 Postpositional clitics,2 Differentiation,,,2 Absent,2 Two classes,,,,,,,2 Tense-aspect suffixes,1 Second singular and second plural,,,,1 No grammatical evidentials,,24
Tawala,-10.33333333,150.6666667,Austronesian,,,,,,,,,,,,,,,,,,6 No gender distinctions,1 No politeness distinction,,3 Pronouns only,9 No case affixes or adpositional clitics,,7 Marked by mixed or other strategies,1 Absent,2 Absent,2 Two classes,2 Without marking,,,,,,1 Tense-aspect prefixes,,,,,,,30
Tayo,-22,166.3333333,other,,,,,,,,,,,,,,,,,,,2 Binary politeness distinction,,,,,,,,,,,,,,,,,,,,,,39
Talysh (Azerbaijan),38.75,48.66666667,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Inflectional optative present,,,,39
Tabare,-6.083333333,145,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,39
Tübatulabal,36,-118.3333333,Uto-Aztecan,,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
Tigré (Beni Amer),15.5,38,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tabla,-2.45,140.4166667,Sentani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,39
Tboli,6.166666667,124.5,Austronesian,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,1 Tense-aspect prefixes,,,,,,,38
Tabaru,1.5,127.25,West Papuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tabassaran,41.83333333,47.91666667,Nakh-Daghestanian,,,,,,,,,,,,,,,,,,,,,,,2 Differentiation,,,,,,,,,,,,,,,,,,39
Tobati,-2.583333333,140.6666667,Austronesian,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,,,,,,,,,,,,,,,,39
Tubu,16,15,Saharan,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,2 Differentiation,,,,,,1 'And' different from 'with',,,,,2 Tense-aspect suffixes,1 Second singular and second plural,1 Maximal system,2 Inflectional optative absent,,,,33
Tabwa,-8,29.5,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tangbe,28.91666667,83.75,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Tarahumara (Central),27.5,-107.5,Uto-Aztecan,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Toda,11.41666667,76.75,Dravidian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tibetan (Dingri),28.5,86.5,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tibetan (Drokpa),32.25,81.25,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tectiteco,15.41666667,-92.08333333,Mayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tepehua (Huehuetla),20.5,-98,Totonacan,,,,,,,,,,,,,,,,,,,,,,2 Case prefixes,,,,,,,,,,,,4 Mixed type,,,,,,,38
Tehuelche,-48,-68,Chon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Second singular,,,,,,39
Telugu,16,79,Dravidian,,,,,,,,,,,,,,,,,,,,1 Identical,,1 Case suffixes,2 Differentiation,,,,,,,,,,,2 Tense-aspect suffixes,1 Second singular and second plural,,2 Inflectional optative absent,1 Overlap for both possibility and necessity,,,33
Tem,8.666666667,0.5,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Grammatical marking,4 No past tense,1 Inflectional future exists,3 Other perfect,,1 Second singular and second plural,1 Maximal system,,,,,34
Tennet,4.416666667,32.5,Eastern Sudanic,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,1 Tense-aspect prefixes,,,,,,,38
Teop,-5.666666667,155,Austronesian,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,5 No tense-aspect inflection,,,,2 Overlap for either possibility or necessity,,,37
Tepehua (Tlachichilco),20.58333333,-98.25,Totonacan,,,,,,,,,,,,,,,,,,,,,,2 Case prefixes,,,,,,,,,,,,4 Mixed type,,,,,,,38
Tera,11,11.83333333,Afro-Asiatic,2 Exclusively isolating,5 No case,1 monoexponential TAM,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,1 Identity,,,2 Absent,2 Two classes,,2 'And' identical to 'with',,,,,5 No tense-aspect inflection,1 Second singular and second plural,,,,,,30
Teso,1.833333333,33.83333333,Eastern Sudanic,,,,,,,,,,,,,,,,,,,,,,2 Case prefixes,,,,,,,,,,,,4 Mixed type,,,,,,,38
Tetela,-4,24,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Second singular and second plural,3 Both types of system,,,,,38
Tewa (Arizona),35.83333333,-110.4166667,Kiowa-Tanoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Indirect only,,39
Turkic (East-Central Xorasan),37,59,Altaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tangga,-3.466666667,153.2,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 No grammatical marking,"1 Present, no remoteness distinctions",2 No inflectional future,4 No perfect,,,,,,,,36
Tagbanwa (Aborlan),9.5,118.5,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,3 Marked by prefix,,,,,,,,,,,,,,,,,39
Tuareg (Ghat),25,10.16666667,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,1 Absent,,,,,,,,,1 Tense-aspect prefixes,,,,,,,37
Tigak,-2.716666667,150.8,Austronesian,,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,6 No gender distinctions,,,3 Pronouns only,9 No case affixes or adpositional clitics,1 Identity,,,,,,1 'And' different from 'with',,,,,5 No tense-aspect inflection,,,,,,,33
Tshangla,27.83333333,92.16666667,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Tugun,-7.716666667,126.75,Austronesian,,,,,,,,,,,,,"6 All nouns, always obligatory",,,,,,,,,,,,,,,,,,,,,,,,,,,,39
Tsogo,-1.5,11.33333333,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tanglapui,-8.283333333,125.0833333,Timor-Alor-Pantar,,,,,1 Head marking,1 Head marking,1 Head-marking,2 Non-zero marking,,,,,,,,,,,,,,,,,,1 Exists,2 Two classes,,,,,,,,,,,,,,34
Tigré,16.5,38.5,Afro-Asiatic,,,,,,,,,1 Productive full and partial reduplication,,,2 Two,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,1 'And' different from 'with',2 No grammatical marking,"1 Present, no remoteness distinctions",2 No inflectional future,3 Other perfect,,1 Second singular and second plural,4 Neither type of system,2 Inflectional optative absent,3 No overlap,,,28
Tarangan (West),-6.5,134.1666667,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Thai,16,101,Tai-Kadai,7 Isolating/concatenative,5 No case,1 monoexponential TAM,2 2-3 categories per word,4 No marking,2 Dependent marking,5 Inconsistent or other,1 Zero-marking,1 Productive full and partial reduplication,1 No case marking,1 No subject person/number marking,1 None,,2 'We' the same as 'I',1 No person marking,,,6 No gender distinctions,4 Pronouns avoided for politeness,1 Identical,2 No person marking,9 No case affixes or adpositional clitics,2 Differentiation,1 No distributive numerals,3 Obligatory,2 Absent,1 No possessive classification,2 Without marking,1 'And' different from 'with',2 No grammatical marking,4 No past tense,2 No inflectional future,"2 From 'finish', 'already'",5 No tense-aspect inflection,5 No second-person imperatives,4 Neither type of system,2 Inflectional optative absent,1 Overlap for both possibility and necessity,1 No grammatical evidentials,4 None,3
Thadou,24.41666667,93.91666667,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,,,2 Marked by reduplication,,,,,,,,,,,,,,,,,39
Thakali,29,83.75,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Second person number-neutral,4 Neither type of system,2 Inflectional optative absent,,1 No grammatical evidentials,,36
Thangmi,27.75,86,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Thompson,49.75,-121.75,Salishan,,,,,,,,,1 Productive full and partial reduplication,,,1 None,,,,,,,,,,,,,2 Optional,,,,,,,,,,,,,,,,37
Thaypan,-14.83333333,143.1666667,Pama-Nyungan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Thai Sign Language,15,101,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tehit,-1.5,132,West Papuan,,,,,,,,,,,,,,,,,,,,,,,,,3 Obligatory,2 Absent,2 Two classes,,,,,,,,,,,,,,37
Thulung,27.41666667,86.5,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Thao,23.88333333,120.9166667,Austronesian,,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
Kuuk Thaayorre,-14.58333333,141.8333333,Pama-Nyungan,,,,,,,,,,,,,,,,,,,,,,8 Inpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Tima,11.66666667,29.25,Kordofanian,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,,,,,,,,39
Tibetan (Standard Spoken),30,91,Sino-Tibetan,1 Exclusively concatenative,1 Monoexponential case,2 TAM+agreement,3 4-5 categories per word,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Non-zero marking,,,,1 None,"4 All nouns, always optional",,,,,,2 Binary politeness distinction,,,,,2 Marked by reduplication,,2 Absent,1 No possessive classification,,,,,,,,,,,,,,26
Ticuna,-4,-70.5,Ticuna,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,4 Mixed type,,,,,,,38
Tidore,0.75,127.5,West Papuan,,,,,,,,,1 Productive full and partial reduplication,,,3 Three,1 No nominal plural,,,,,"2 3rd person only, but also non-singular",,,2 No person marking,9 No case affixes or adpositional clitics,,,2 Optional,,,5 Marked by preceding word,,,,,,5 No tense-aspect inflection,,,,,,,31
Tifal,-5,141.3333333,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tigrinya,14.5,38.5,Afro-Asiatic,,,,,,,,,1 Productive full and partial reduplication,,,,"6 All nouns, always obligatory",,,,,,,,,7 Prepositional clitics,,,,,,,,2 No grammatical marking,"1 Present, no remoteness distinctions",1 Inflectional future exists,4 No perfect,,,,,,,,33
Tikar,5.833333333,11.66666667,Niger-Congo,,,,,,,,,,,,,"6 All nouns, always obligatory",,,,,,,,,,1 Identity,,,,,,,,,,,,,,,,,,38
Tillamook,45.33333333,-123.75,Salishan,,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 No grammatical evidentials,,38
Timugon,5,116,Austronesian,,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,1 Absent,,,,,,,,,4 Mixed type,,,,,,,36
Tinrin,-21.66666667,165.75,Austronesian,,,,,,,,,1 Productive full and partial reduplication,,,,"3 Only human nouns, obligatory",,,3 Three-way contrast,,6 No gender distinctions,,,2 No person marking,9 No case affixes or adpositional clitics,2 Differentiation,,,,,,,,,,,5 No tense-aspect inflection,5 No second-person imperatives,,,,,,31
Tiriyo,3.25,-55.75,Cariban,,,,,,,,,,,,,,,,,,"2 3rd person only, but also non-singular",,,3 Pronouns only,9 No case affixes or adpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,1 Second singular and second plural,4 Neither type of system,,,,,34
Tibetan (Shigatse),29,89,Sino-Tibetan,,,,,,,,,,,,,1 No nominal plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
Tiv,7.5,9,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tiwi,-11.5,131,Tiwian,1 Exclusively concatenative,5 No case,6 no TAM,3 4-5 categories per word,1 Head marking,4 No marking,5 Inconsistent or other,2 Non-zero marking,1 Productive full and partial reduplication,1 No case marking,2 Syncretic,2 Two,"3 Only human nouns, obligatory",5 Inclusive/exclusive,5 Inclusive/exclusive,2 Two-way contrast,1 Identical,3 3rd person singular only,1 No politeness distinction,1 Identical,2 No person marking,9 No case affixes or adpositional clitics,,4 Marked by suffix,1 Absent,1 Exists,2 Two classes,2 Without marking,1 'And' different from 'with',2 No grammatical marking,"1 Present, no remoteness distinctions",1 Inflectional future exists,4 No perfect,1 Tense-aspect prefixes,1 Second singular and second plural,4 Neither type of system,2 Inflectional optative absent,,1 No grammatical evidentials,4 None,2
Tiipay (Jamul),32.16666667,-116.5,Hokan,,,,,,,,,1 Productive full and partial reduplication,,,,"3 Only human nouns, obligatory",,,,,6 No gender distinctions,,,1 No adpositions,6 Postpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,4 Neither type of system,,,,,33
Tokelauan,-9,-172,Austronesian,,,,,,,,,,,,,,,,,,,,,,,2 Differentiation,,,,,,,,,,,,4 Second person number-neutral,,,,,,38
Tuki,4.583333333,11.5,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Tense-aspect prefixes,,,,,,,39
Takelma,42.5,-123,Takelma,,,,,1 Head marking,1 Head marking,1 Head-marking,2 Non-zero marking,,,,,"4 All nouns, always optional",,,,,6 No gender distinctions,,,4 Pronouns and nouns,2 Case prefixes,3 Mixed,,1 Absent,2 Absent,2 Two classes,,,,,,,2 Tense-aspect suffixes,1 Second singular and second plural,,,,2 Indirect only,,25
Turkmen,40,58,Altaic,,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
Teke (Southern),-2.333333333,14.5,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tolai,-4.25,152.0833333,Austronesian,,,,,,,,,,,,,,,,,,6 No gender distinctions,,,2 No person marking,9 No case affixes or adpositional clitics,,2 Marked by reduplication,1 Absent,,,,2 'And' identical to 'with',,,,,5 No tense-aspect inflection,,,,,,,33
Tatar-Noghay (Alabugat),47.41666667,45.66666667,Altaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Talaud,4.25,126.75,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Telefol,-5,141.75,Trans-New Guinea,,,,,1 Head marking,1 Head marking,1 Head-marking,2 Non-zero marking,,,,,,,,,,,,,,,,,1 Absent,2 Absent,1 No possessive classification,,,,,,,,,,,,,,33
Tlingit,59,-135,Na-Dene,1 Exclusively concatenative,1 Monoexponential case,1 monoexponential TAM,,1 Head marking,1 Head marking,1 Head-marking,2 Non-zero marking,,1 No case marking,3 Not syncretic,,,3 No inclusive/exclusive,3 No inclusive/exclusive,4 Four-way contrast,,6 No gender distinctions,1 No politeness distinction,,4 Pronouns and nouns,1 Case suffixes,2 Differentiation,,3 Obligatory,2 Absent,2 Two classes,,1 'And' different from 'with',,,,,4 Mixed type,5 No second-person imperatives,,,3 No overlap,1 No grammatical evidentials,,15
Taulil,-4.416666667,152.0833333,Baining-Taulil,,,,,,,,,,,,,,,,,,,,,,,,,1 Absent,,,,,,,,,,,,,,,,39
Tobelo,1.5,128.5,West Papuan,,,,,,,,,,,,,1 No nominal plural,,,,,,,,,1 Case suffixes,,,,,,,,,,,,4 Mixed type,,,,,,,37
Tlapanec,17.08333333,-99,Oto-Manguean,,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,,,,,1 Case suffixes,1 Identity,,,,,,,,,,,1 Tense-aspect prefixes,,,,,1 No grammatical evidentials,,35
Talysh (Southern),37,49,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tama,14.5,22,Eastern Sudanic,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Timucua,30.25,-82.5,Timucua,,,,,1 Head marking,4 No marking,5 Inconsistent or other,2 Non-zero marking,,,,,,,,,,,,,,,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,1 No grammatical evidentials,,34
Tamagario,-6.416666667,139.25,Kayagar,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Tatar (Mishar),55.5,49,Altaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Inflectional optative absent,,,,39
Tumak,9.5,17.33333333,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tamil,11,78.5,Dravidian,,,,,,,,,1 Productive full and partial reduplication,,,3 Three,"5 All nouns, optional in inanimates",,,2 Two-way contrast,3 Different inflection,,3 Multiple politeness distinctions,1 Identical,,1 Case suffixes,2 Differentiation,2 Marked by reduplication,,,,,1 'And' different from 'with',2 No grammatical marking,"1 Present, no remoteness distinctions",1 Inflectional future exists,3 Other perfect,2 Tense-aspect suffixes,1 Second singular and second plural,,,2 Overlap for either possibility or necessity,2 Indirect only,,21
Tamabo,-15.66666667,167.1666667,Austronesian,,,,,,,,,,,,,"3 Only human nouns, obligatory",,,,,,,,,,,,,,,,,,,,,,,,,,,,39
Temein,11.91666667,29.41666667,Eastern Sudanic,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,1 Tense-aspect prefixes,,,,,,,38
Tibetan (Modern Literary),29.83333333,91.5,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Tampulma,10.41666667,-0.583333333,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Temiar,5,101.5,Austro-Asiatic,,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,6 No gender distinctions,,,3 Pronouns only,2 Case prefixes,,,1 Absent,,,,,,,,,1 Tense-aspect prefixes,,,,,,,34
Tommo So,15,-3,Dogon,,,,,,,,,,,,,,,,,,6 No gender distinctions,,,2 No person marking,,,,,,,,,,,,,,1 Second singular and second plural,4 Neither type of system,2 Inflectional optative absent,,,,35
Tat (Muslim),41.25,48.75,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Turkana,3,35.5,Eastern Sudanic,,,,,,,,,,,,,,,,2 Two-way contrast,,6 No gender distinctions,,1 Identical,2 No person marking,5 Mixed morphological case,,,,,,,2 'And' identical to 'with',,,,,1 Tense-aspect prefixes,1 Second singular and second plural,,,,,1 Tense,31
Tunebo,6.75,-72.25,Chibchan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 No grammatical evidentials,,39
Tanacross,63.5,-143.5,Na-Dene,,,,,,,,,3 No productive reduplication,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,1 Tense-aspect prefixes,1 Second singular and second plural,1 Maximal system,,,,,35
Tindi,42.36666667,46.25,Nakh-Daghestanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Temne,8.666666667,-13.08333333,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 'And' identical to 'with',2 No grammatical marking,"1 Present, no remoteness distinctions",1 Inflectional future exists,"2 From 'finish', 'already'",4 Mixed type,,,,,,,34
Tongan,-21.16666667,-175.1666667,Austronesian,,,,,,,,,1 Productive full and partial reduplication,,,,,,,2 Two-way contrast,2 Different stem,,,,,9 No case affixes or adpositional clitics,2 Differentiation,3 Marked by prefix,2 Optional,,,,,,,,,5 No tense-aspect inflection,,,,,,,32
Tinani,32.33333333,77.16666667,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tanaina,62,-150,Na-Dene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tungak,-2.55,150.25,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tanana (Lower),65,-150,Na-Dene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tunen,4.75,10.66666667,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,1 Absent,,,2 Without marking,,,,,,2 Tense-aspect suffixes,,,,,,,36
Tondano,1.25,125,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 'And' identical to 'with',,,,,1 Tense-aspect prefixes,5 No second-person imperatives,,,,,,37
Tanna (Southwest),-19.56666667,169.3333333,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tontemboan,1.083333333,124.5,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tenyer,10.66666667,-4.5,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Grammatical marking,"1 Present, no remoteness distinctions",2 No inflectional future,"2 From 'finish', 'already'",2 Tense-aspect suffixes,,,,,,,35
Toaripi,-8.333333333,146.25,Eleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Toba,-26.5,-59,Guaicuruan,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,1 Absent,,,,,,,,,2 Tense-aspect suffixes,,,,,,,37
Tod,32.41666667,77.25,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tofa,53.75,98,Altaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tojolabal,16.33333333,-91.5,Mayan,,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,,,,,,,,,,,,,1 Grammatical marking,4 No past tense,2 No inflectional future,3 Other perfect,,,,,,,,35
Tarok,9,10.08333333,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Tol,14.66666667,-87,Tol,,,,,,,,,,,,1 None,,,,,,6 No gender distinctions,,,2 No person marking,,,,1 Absent,,,,,,,,,,,,,,,,36
Tonkawa,30.25,-96.75,Tonkawa,,,,,3 Double marking,2 Dependent marking,5 Inconsistent or other,2 Non-zero marking,,,,,,,,3 Three-way contrast,,6 No gender distinctions,,,2 No person marking,6 Postpositional clitics,,,1 Absent,2 Absent,2 Two classes,,,,,,,2 Tense-aspect suffixes,2 Second singular,,,,2 Indirect only,,26
Toqabaqita,-8.416666667,160.5833333,Austronesian,,,,,,,,,,,,,,,,,,,,,,,2 Differentiation,,2 Optional,,,,,,,,,,,,,,1 No grammatical evidentials,,37
Toratán,1.083333333,124.8333333,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Second person number-neutral,,,3 No overlap,,,38
Totonac (Sierra),19.91666667,-97.41666667,Totonacan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
